SSH connection established.
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/lk-an-sboot-dis.elf to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/APDB_mt8678_ENUM to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mtk-core-image-auto8678-hyp-auto8678p1_64_hyp.rootfs.manifest to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/bl2-an.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/connsys_bt.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/scp.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/dpm.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/spmfw.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/vbmeta.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp.manifest to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/lk-sboot-dis.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mtk-core-image-auto8678-hyp-auto8678p1_64_hyp.rootfs.testdata.json to Administrator@100.64.0.3:D:/78images/yocto/test
